date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-05-18,F,15797.600000000002,0.6591,139485.0,0.0146,152921.33766786344,0.07300058905449648,1.3828678557067589,0.0773239956110169,0.16794830059401897,True
2020-05-19,F,15758.399999999998,0.6345,139485.0,0.0146,152952.14435966595,0.06938144113475042,1.4577964851515415,0.06626945415913267,0.1577800042996023,True
2020-05-20,F,16346.4,0.6328,139485.0,0.0146,153537.99727402077,0.07140927216873996,1.4642596150081286,0.06514136581000524,0.14851580290585714,True
2020-05-21,F,16738.399999999998,0.6081,139485.0,0.0145,153999.9777893358,0.0693850210044068,1.5444627549757275,0.054683942211991,0.13913230913434582,True
2020-05-22,F,16816.8,0.5779,139485.0,0.0145,154138.14404062156,0.065516029853301,1.6480840200475033,0.04333235528133196,0.1295520310095014,True
2020-05-26,F,17365.6,0.571,139485.0,0.0144,154709.64748249608,0.06643069177885633,1.6735487750068758,0.04066965337942682,0.12066355715619444,True
2020-05-27,F,17953.6,0.5737,139485.0,0.0144,155289.8550431448,0.06877436129611786,1.6646132178141395,0.04130880786333112,0.11272789252278972,True
2020-05-28,F,17404.8,0.5604,139485.0,0.0143,154779.72431047604,0.0651090313142044,1.712405041392067,0.037122325698449615,0.10516717317349687,True
2020-05-29,F,16973.6,0.5629,139485.0,0.0143,154346.63341010554,0.06402324741818766,1.702611429288985,0.03813873402260211,0.09846419946698616,True
2020-06-01,F,17444.0,0.5594,139485.0,0.0143,154820.30320480748,0.06510175823229186,1.7161696664496005,0.036780356752353284,0.0922957076976251,True
2020-06-02,F,17561.6,0.5508,139485.0,0.0142,154964.0234985335,0.06431313851335443,1.7486742891669407,0.03400480033310072,0.08646652553487812,True
2020-06-03,F,18424.0,0.5446,139485.0,0.0142,155832.03452224645,0.06619639448512037,1.773412120700104,0.031758910797106875,0.08099568683574644,True
2020-06-04,F,19521.6,0.5643,139485.0,0.0142,156894.48117475686,0.07252554337628234,1.7005835403378287,0.037435454746055204,0.07663960828613285,True
2020-06-05,F,21834.4,0.6416,139485.0,0.0141,159013.38497547986,0.09315802426647556,1.4469853792829364,0.06535276190541756,0.07551091074274663,True
2020-06-08,F,22383.2,0.64,139485.0,0.0141,159562.6869848023,0.09482610375172565,1.4527488637067696,0.06432426097478572,0.07439223425428827,True
2020-06-09,F,21520.8,0.6429,139485.0,0.0141,158698.31001041824,0.0922624444508718,1.442519681025054,0.06611084798963024,0.07356408795803902,True
2020-06-10,F,20266.4,0.6692,139485.0,0.014,157376.60696577202,0.09227307326252014,1.3626985313288678,0.07875519953381294,0.07408320344257294,True
2020-06-11,F,18228.0,0.7349,139485.0,0.014,155075.21789128552,0.09559267733607812,1.1797966989500555,0.11370828509508052,0.07804574133368762,True
2020-06-12,F,19208.0,0.7381,139485.0,0.014,156013.99062792814,0.10054977965116103,1.1743043571154506,0.11454184910237486,0.08169537675125679,True
2020-06-15,F,19325.6,0.7272,139485.0,0.0139,156201.8395247912,0.09900250548104353,1.2025450948293679,0.10855985673285135,0.08438184107343757,True
2020-06-16,F,19482.4,0.7241,139485.0,0.0139,156371.5226330057,0.09909915658302137,1.210985908226094,0.10677208424927392,0.08662087763576694,True
2020-06-17,F,18816.0,0.7345,139485.0,0.0139,155664.88185382137,0.09812917852859333,1.1824174756064245,0.11294900743617442,0.08925370357426322,True
2020-06-18,F,18816.0,0.7299,139485.0,0.0138,155703.17124153356,0.09727036360255696,1.194229989049908,0.11046701799522124,0.09137504441324718,True
2020-06-19,F,18541.6,0.7332,139485.0,0.0138,155417.72404474023,0.09666442449928342,1.185002697686982,0.11249874402793464,0.09348742279618441,True
2020-06-22,F,18659.2,0.7054,139485.0,0.0138,155669.95762723373,0.09218115992850769,1.2584254191516222,0.09773918264085779,0.09391260030621039,True
2020-06-23,F,18306.4,0.7046,139485.0,0.0137,155341.25016540577,0.09054185189333766,1.259718156601101,0.09762843686640643,0.09428418516216891,True
2020-06-24,F,17679.2,0.7069,139485.0,0.0137,154716.11776257065,0.08826012267677905,1.2519483441764898,0.09934529749125748,0.09479029786600396,True
2020-06-25,F,17953.6,0.6845,139485.0,0.0137,155079.14688413186,0.0856657267969461,1.3142658048211073,0.08783497252908334,0.09409476351301016,True
2020-06-26,F,17561.6,0.6845,139485.0,0.0136,154707.39654819094,0.08404279759120424,1.3133593095418028,0.08814761761500978,0.0935000475231771,True
2020-06-29,F,17875.2,0.6849,139485.0,0.0136,155014.21410802458,0.0854019794377531,1.312958430065811,0.08809494206657431,0.0929595358323302,True
2020-06-30,F,18071.2,0.6462,139485.0,0.0136,155342.64951639343,0.07995031695113207,1.4262396525182588,0.06984853855450049,0.09064843169764723,True
2020-07-01,F,17796.8,0.649,139485.0,0.0135,155076.54821935468,0.07932703263142656,1.4172341952236427,0.07128643068096016,0.0887122282731558,True
2020-07-02,F,17992.8,0.6427,139485.0,0.0135,155289.53193089465,0.07909680305523462,1.4367356421133226,0.06835867969354205,0.0866768702715059,True
2020-07-06,F,18424.0,0.6421,139485.0,0.0134,155731.55015800134,0.08063002493506229,1.4393793712393688,0.06780727289559432,0.08478990791087757,True
2020-07-07,F,18188.8,0.6436,139485.0,0.0134,155494.3782707567,0.07997606401275845,1.4343595510497307,0.06862303661076667,0.08317321875826537,True
2020-07-08,F,18110.4,0.6376,139485.0,0.0133,155448.43656943267,0.07873455707612674,1.4526087203172537,0.06606097536991867,0.0814619924926439,True
2020-07-09,F,17365.6,0.6428,139485.0,0.0133,154696.64345187298,0.07670113579349104,1.435216918420989,0.0688301721775227,0.08019880918105766,True
2020-07-10,F,18149.6,0.6492,139485.0,0.0133,155452.03218737885,0.08070317736024876,1.417316784653437,0.0711339793900876,0.0792923253752162,True
2020-07-13,F,18032.0,0.645,139485.0,0.0132,155362.58216022106,0.07958473326593948,1.4297925814373114,0.06934900060373846,0.07829799208188883,True
2020-07-14,F,18933.6,0.6553,139485.0,0.0132,156220.5344583726,0.08469374358274295,1.4006117470842312,0.07333325558783511,0.07780151806571431,True
2020-07-15,F,20031.2,0.6753,139485.0,0.0132,157230.58241571017,0.09238173835932134,1.3447587467910245,0.08180763221284021,0.07820212974678284,True
2020-07-16,F,20423.2,0.6636,139485.0,0.0131,157676.3998590046,0.09180839637996473,1.3791496028674795,0.07606606974074705,0.0779885236183604,True
2020-07-17,F,20227.2,0.6419,139485.0,0.0131,157557.92400531427,0.0872937453789698,1.4432632636296343,0.06653259630308382,0.07684293026987661,True
2020-07-20,F,19796.0,0.5436,139485.0,0.0131,157352.1835415024,0.07023831643746942,1.7786806823479917,0.03092318371842639,0.07225095338903482,True
2020-07-21,F,19874.4,0.5372,139485.0,0.013,157453.17264329552,0.06952738426618682,1.8037179776240677,0.02904657512600862,0.06793051367805594,True
2020-07-22,F,20344.8,0.5322,139485.0,0.013,157929.0386880235,0.07019669727269699,1.8239668067191706,0.027476403571078518,0.06388510107912546,True
2020-07-23,F,20776.0,0.5062,139485.0,0.013,158389.92042923157,0.06758566479669299,1.9320938562987038,0.020716381393897292,0.059568227585274955,True
