date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD,success
2020-11-16,JPM,316271.4,0.4922,354599.0,0.0101,667204.7335542924,0.23380439063998817,1.999150837241023,0.004270770246370633,True
2020-11-17,JPM,313078.6,0.4922,354599.0,0.0101,664010.667754966,0.2325677482572341,1.99933817763665,0.004339214149519353,True
2020-11-18,JPM,310745.4,0.4925,354599.0,0.0101,661675.8819179516,0.2318005432460065,1.9981961031920037,0.004412917877319842,True
2020-11-19,JPM,311574.3,0.4904,354599.0,0.01,662544.6997276207,0.23110385837983458,2.0071268921389036,0.004237138799522663,True
2020-11-20,JPM,308903.4,0.491,354599.0,0.01,659871.477038631,0.23034618250174702,2.0047107388791483,0.004339684606399062,True
2020-11-23,JPM,317806.4,0.4956,354599.0,0.01,668767.9772356825,0.23603359111725403,1.9846654777447876,0.004496590496783243,True
2020-11-24,JPM,332511.7,0.5051,354599.0,0.0099,683492.2574430599,0.24630323064294615,1.9445525312513314,0.004920721855349283,True
2020-11-25,JPM,329042.6,0.5064,354599.0,0.0099,680018.240358938,0.24563443722520767,1.939485926433684,0.005109874243742154,True
2020-11-27,JPM,326832.2,0.5074,354599.0,0.0098,677839.2653461563,0.24527037168260202,1.9355789069860843,0.005248874468174352,True
2020-11-30,JPM,317837.1,0.5163,354599.0,0.0098,668814.1949833932,0.2461122198965725,1.9007824504452873,0.006299074538114448,True
2020-12-01,JPM,322841.2,0.5127,354599.0,0.0098,673831.6875694814,0.24633322818065867,1.9146551676309378,0.005821008924943118,True
2020-12-02,JPM,329042.6,0.514,354599.0,0.0097,680067.7133605804,0.24938132285550754,1.9091916493172882,0.005776903651738837,True
2020-12-03,JPM,326893.6,0.5131,354599.0,0.0097,677920.1598581637,0.2481016650570194,1.9128552770135037,0.005751294670448371,True
2020-12-04,JPM,329871.5,0.5062,354599.0,0.0097,680918.2166093959,0.2458258203626263,1.9402509244894592,0.005074956509683959,True
2020-12-07,JPM,328612.8,0.5069,354599.0,0.0096,679692.2049035745,0.24568047375533106,1.937497129046707,0.00516468644211735,True
2020-12-08,JPM,328950.5,0.4989,354599.0,0.0096,680049.6069610287,0.24184915338949783,1.9702254217978934,0.0045103742581587315,True
2020-12-09,JPM,326402.4,0.4949,354599.0,0.0096,677509.3887038672,0.23891813877922713,1.9871160883542245,0.0042618801878940675,True
2020-12-10,JPM,324284.1,0.4855,354599.0,0.0095,675444.3912281967,0.2335034143457708,2.027593654907151,0.0036421025620307374,True
2020-12-11,JPM,322380.7,0.4871,354599.0,0.0095,673537.273440571,0.2335747724698007,2.020739016346074,0.003786158197623845,True
2020-12-14,JPM,318973.0,0.4898,354599.0,0.0094,670158.0532063299,0.23359006720313522,2.009277616780066,0.004043487961025634,True
2020-12-15,JPM,324406.9,0.4885,354599.0,0.0094,675596.5752616728,0.23500499562684246,2.014554059419376,0.003844229150526127,True
2020-12-16,JPM,325358.6,0.4828,354599.0,0.0094,676559.3012352361,0.23256785435686644,2.0393888671823954,0.0034466211904742436,True
2020-12-17,JPM,322657.0,0.4725,354599.0,0.0093,673908.9073255233,0.22654293086755656,2.085962008374752,0.0028710668949951525,True
2020-12-18,JPM,321060.6,0.4619,354599.0,0.0093,672326.6266430287,0.22082716675027725,2.1358454825623623,0.0023361942053573624,True
2020-12-21,JPM,333125.7,0.4681,354599.0,0.0093,684386.6003375816,0.22812036267482896,2.105695272190237,0.0024839081751868858,True
2020-12-22,JPM,328060.2,0.2688,354599.0,0.0092,679411.8477268872,0.12979254602572776,3.7045807401379864,2.6403008146263213e-07,True
2020-12-23,JPM,337239.5,0.279,354599.0,0.0092,688591.1445488628,0.1366410957636205,3.5675112495091867,5.990017009192145e-07,True
2020-12-24,JPM,335735.2,0.275,354599.0,0.0092,687086.8462199646,0.1343748611124153,3.619960142513583,4.2423840303506893e-07,True
2020-12-28,JPM,337945.6,0.2713,354599.0,0.0091,689332.3843935994,0.13300500084667277,3.669666577146725,2.8703379555462145e-07,True
2020-12-29,JPM,337055.3,0.2718,354599.0,0.0091,688442.0842267087,0.13307095337852323,3.6628997490190187,3.058482800518854e-07,True
2020-12-30,JPM,338007.0,0.2612,354599.0,0.009,689428.9264743822,0.12805878812906726,3.8127986111990113,1.0060820355419087e-07,True
2020-01-02,TSLA,27532.8,0.8964,8873.0,0.018,36165.39632639881,0.6878768119408755,0.9757823970754186,0.04227486583227583,True
2020-01-03,TSLA,28348.8,0.8964,8873.0,0.0179,36985.14814291197,0.6922501438629289,0.9748218796967478,0.040767040441334654,True
2020-01-06,TSLA,28896.0,0.8964,8873.0,0.0179,37534.222556401786,0.6950900526228002,0.9741808541599072,0.039792088633052065,True
2020-01-07,TSLA,30019.2,0.8964,8873.0,0.0179,38661.10414411855,0.7006767794872157,0.9728803355307419,0.037884676282574824,True
2020-01-08,TSLA,31497.600000000002,0.8964,8873.0,0.0178,40144.8859184426,0.7075570959504115,0.9712073552084048,0.03555691593965109,True
2020-01-09,TSLA,30806.400000000005,0.8964,8873.0,0.0178,39451.61285056048,0.7043953923206987,0.9719858632241895,0.03662348572776064,True
2020-01-10,TSLA,30604.8,0.8964,8873.0,0.0178,39249.39398641417,0.7034530667203553,0.9722146987258229,0.0369424091394624,True
2020-01-13,TSLA,33590.4,0.8964,8873.0,0.0177,42244.385241248994,0.7165088043780392,0.9689143230560809,0.03256881398001269,True
2020-01-14,TSLA,34425.6,0.8964,8873.0,0.0177,43081.74790044111,0.7198528672291994,0.9680243589395716,0.03146575948865482,True
2020-01-15,TSLA,33187.2,0.8964,8873.0,0.0177,41840.10774771729,0.7148485204053034,0.969349469027771,0.033119251109964346,True
2020-01-16,TSLA,32860.799999999996,0.8964,8873.0,0.0176,41513.67525733105,0.7134679170387851,0.969707908507364,0.03357831961834062,True
2020-01-17,TSLA,32668.8,0.8964,8873.0,0.0176,41321.14539185712,0.7126542165130252,0.9699177141040025,0.033849448361194356,True
2020-01-21,TSLA,35020.8,0.8964,8873.0,0.0175,43680.148567241624,0.722134114102089,0.9674069324614044,0.030717769427216303,True
2020-01-22,TSLA,36451.2,0.8964,8873.0,0.0175,45113.944487503395,0.7274417767028336,0.9659382750316401,0.0289924713129628,True
2020-01-23,TSLA,36624.0,0.8964,8873.0,0.0174,45287.996565010326,0.7280480559978637,0.9657676719034143,0.02879679523872654,True
