date,firm_id,equity_vol
2020-10-07,AAPL,0.4987
2020-10-08,AAPL,0.4964
2020-10-09,AAPL,0.499
2020-10-12,AAPL,0.5336
2020-10-13,AAPL,0.5294
2020-10-14,AAPL,0.5147
2020-10-15,AAPL,0.512
2020-10-16,AAPL,0.4577
2020-10-19,AAPL,0.4636
2020-10-20,AAPL,0.4202
2020-10-21,AAPL,0.4047
2020-10-22,AAPL,0.3938
2020-10-23,AAPL,0.3921
2020-10-26,AAPL,0.3825
2020-10-27,AAPL,0.3844
2020-10-28,AAPL,0.3987
2020-10-29,AAPL,0.4097
2020-10-30,AAPL,0.4324
2020-11-02,AAPL,0.4233
2020-11-03,AAPL,0.4232
2020-11-04,AAPL,0.42
2020-11-05,AAPL,0.4302
2020-11-06,AAPL,0.4181
2020-11-09,AAPL,0.4177
2020-11-10,AAPL,0.4171
2020-11-11,AAPL,0.4239
2020-11-12,AAPL,0.4235
2020-11-13,AAPL,0.4116
2020-11-16,AAPL,0.4031
2020-11-17,AAPL,0.394
2020-11-18,AAPL,0.3933
2020-11-19,AAPL,0.3934
2020-11-20,AAPL,0.3919
2020-11-23,AAPL,0.3528
2020-11-24,AAPL,0.3476
2020-11-25,AAPL,0.3485
2020-11-27,AAPL,0.3488
2020-11-30,AAPL,0.3522
2020-12-01,AAPL,0.3541
2020-12-02,AAPL,0.3526
2020-12-03,AAPL,0.352
2020-12-04,AAPL,0.3511
2020-12-07,AAPL,0.3514
2020-12-08,AAPL,0.3514
2020-12-09,AAPL,0.3564
2020-12-10,AAPL,0.327
2020-12-11,AAPL,0.3125
2020-12-14,AAPL,0.2605
2020-12-15,AAPL,0.2923
2020-12-16,AAPL,0.2913
2020-12-17,AAPL,0.271
2020-12-18,AAPL,0.2598
2020-12-21,AAPL,0.2612
2020-12-22,AAPL,0.2624
2020-12-23,AAPL,0.2636
2020-12-24,AAPL,0.252
2020-12-28,AAPL,0.2681
2020-12-29,AAPL,0.2729
2020-12-30,AAPL,0.275
2020-01-02,JPM,0.5453
